ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
INS182402973,138004397.0,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),"Pitbull, Diljit Dosanjh, Neeraj Shridhar, Tanishk Bagchi, Pritam, Dhrruv Yogi, Sameer Anjaan","new romantic, bollywood, indian pop, indian fusion","bollywood, indian pop, indian fusion, new romantic","501219, 501220, 507684, 507743","energetic, upbeat, catchy, celebratory, dynamic, entertaining, playful",summer
INS182402717,136825216.0,"Mere Mehboob (From ""Vicky Vidya Ka Woh Wala Video"")","Sachin-Jigar, Shilpa Rao, Sachet Tandon, Priya Saraiya","new romantic, indian pop, bollywood, indian fusion","bollywood, indian pop, indian fusion, new romantic","501219, 501220, 507684, 507743","celebratory, sentimental, cathartic, emotional, heartwarming","soft, background, focus, roadtrip, summer, urban"
QM6N22592831,146269553.0,,Shubh,,,,,
INS182400369,116571698.0,,"Ram Sampath, Arijit Singh, Prashant Pandey",,,,,
INH102410048,134178175.0,"Khoobsurat (From ""Stree 2"")","Sachin-Jigar, Vishal Mishra, Amitabh Bhattacharya","bollywood, new romantic, pakistani fusion, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, flirty, lighthearted, catchy, celebratory, entertaining, whimsical","soft, lofi, sleep, roadtrip"
INZ031411736,95172512.0,"Apna Bana Le (From ""Bhediya"")","Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, family, festive",self-love
INH102500921,143543474.0,,"Vijai Bulganin, Anurag Kulkarni, Sameera Bharadwaj, Purnachary",,,,,
INS182500958,143897018.0,"MANIAC - Bonus Track [From ""GLORY""]",Yo Yo Honey Singh,"punjabi, indian hip-hop/rap, indian pop","indian pop, indian hip-hop/rap, punjabi","501220, 501221, 501717","energetic, hype","dancy, partying, urban, driving, workout"
INS182303559,114964976.0,,"Pritam, Arijit Singh, Irshad Kamil",,,,,
TCAJH2594301,143523383.0,Water,"Diljit Dosanjh, MixSingh, Raj Ranjodh",punjabi,punjabi,501717,"affectionate, uplifting","dancy, summer"
INT132400631,136513015.0,,"Arijit Singh, Prasad S, Kunaal Vermaa",,,,,
INS172501194,146551112.0,"Chor Bazari Phir Se (From ""Bhool Chuk Maaf"")","Tanishk Bagchi, Pritam Chakraborty, Irshad Kamil, Sunidhi Chauhan, Neeraj Shridhar, Zahrah S Khan",new romantic,new romantic,507743,"fun, nostalgic, upbeat",dancy
INA092519833,142573838.0,"Hilesso Hilessa (From ""Thandel"")","Devi Sri Prasad, Nakash Aziz, Shreya Ghoshal, Shree Mani",telugu,telugu,501819,"free, hype","beach, driving"
INW262318603,113134525.0,Hass Hass,"Diljit Dosanjh, Sia, Greg Kurstin","punjabi, punjabi trap, pakistani fusion, indian fusion","punjabi, indian fusion, pakistani fusion, punjabi trap","501717, 507684, 507755, 507791","affectionate, whimsical","bonding, daydreaming, self-love"
INS181501796,17908282.0,,"Alka Yagnik, Arijit Singh, Ranbir Kapoor, Deepika Padukone, Javed Sheikh, Piyush Mishra, Sushma Seth",,,,,
INS182501521,145982748.0,,"Jasmine Sandlas, Sachet Tandon, Jaani, White Noise Collectives, Divya Kumar, Sumonto Mukherjee",,,,,
FR2X42505295,143120238.0,,"Badshah, Akshay & IP, Kanika Kapoor, Sharvi Yadav, IP Singh",,,,,
DGA0Q2419565,138739920.0,Paro,"Aditya Rikhari, UNPLG'd","indian, indie","indian, indie","501540, 501541","introspective, autumnal, chill, gentle, laidback, reflective",acoustic
INUM72400721,133263096.0,Jo Tum Mere Ho,Anuv Jain,"pakistani fusion, south asian classical, new romantic, indie, indian, sufi rock, indian fusion, bollywood","bollywood, indian, indie, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 501540, 501541, 503287, 507684, 507743, 507755, 507824","longing, yearning, mournful, dreamy, heartwarming","lofi, sleep, soft, study"
INS182400204,116192176.0,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"pakistani fusion, indian fusion, new romantic, bollywood, south asian classical, punjabi trap","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, punjabi trap","501219, 503287, 507684, 507743, 507755, 507791","affectionate, longing, heartwarming, intimate",
INW262500018,142223877.0,,Shubh,,,,,
QM4TW2527646,143268383.0,2 Khatole (Lofi Mix),Masoom Sharma,haryanvi,haryanvi,501514,"cozy, entertaining, free","cruising, workout"
INZ031418142,145354385.0,,"Pritam, Arijit Singh, Sameer Anjaan",,,,,
INW262400729,139380411.0,Sahiba,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma","bollywood, new romantic","bollywood, new romantic","501219, 507743","emotional, atmospheric, abstract, bittersweet, sentimental, soulful, relaxed","soft, lofi, roadtrip"
INS182501730,146984220.0,,"Yo Yo Honey Singh, Simar Kaur, Alfaaz, Vinod Verma",,,,,
INA092419712,139792895.0,"Bujji Thalli (From ""Thandel"")","Devi Sri Prasad, Javed Ali, Shree Mani",telugu,telugu,501819,"cathartic, comforting, emotional, affectionate, heartwarming, chill, dramatic","sleep, sleeping, rural, wind"
ING642424864,141280074.0,Pistol Bole Gi,"Masoom Sharma, Sheenam Katholic, Mr. Boota, Kay D, Aarohi Raghav",haryanvi,haryanvi,501514,"energetic, carefree, upbeat","dancy, partying, rural"
INS172501192,146223894.0,"Koi Naa (From ""Bhool Chuk Maaf"")","Tanishk Bagchi, Gifty, Harnoor, Shreya Ghoshal, Irshad Kamil","bollywood, indian hip-hop/rap, indian pop, new romantic","bollywood, indian pop, indian hip-hop/rap, new romantic","501219, 501220, 501221, 507743","affectionate, uplifting",lofi
INS182303075,113162063.0,,"Arijit Singh, Shreyas Puranik, Siddharth - Garima",,,,,
AUBEC2438671,120635440.0,,"Karan Aujla, Seshnolan",,,,,
INH109537390,13216562.0,,"Lata Mangeshkar, Kumar Sanu",,,,,
INW262501834,145337823.0,Qatal,"Guru Randhawa, Sanjoy, Gill Machhrai","punjabi, hip-hop/rap","hip-hop/rap, punjabi","501121, 501717","chill, happy","workout, soft"
INUM72500068,142853974.0,Afsos,"Anuv Jain, AP Dhillon","punjabi, indian, indie, bollywood","bollywood, indian, indie, punjabi","501219, 501540, 501541, 501717","soulful, longing, melancholic, reflective","soft, lofi, sleep"
GBSGZ1500562,13031053.0,,"Arijit Singh, Himesh Reshammiya",,,,,
INS182403432,140326178.0,,"Ramana Gogula, Madhupriya, Bheems Ceciroleo, Bhaskarabhatla",,,,,
INS182403049,138227889.0,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")","Aditya Rikhari, Tulsi Kumar, Lijo George-Dj Chetas","bollywood, new romantic","bollywood, new romantic","501219, 507743","affectionate, festive, catchy, celebratory, cheerful",bonding
INT502405146,136950849.0,,"Masoom Sharma, Swara Verma, Dev Chouhan, Pooja Saxena",,,,,
INZ031415303,121250784.0,"Taras - From ""Munjya""","Sachin-Jigar, Jasmine Sandlas, Amitabh Bhattacharya","indian fusion, new romantic, indian pop, bollywood, south asian classical, pakistani fusion","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","emotional, painful, betrayal, longing","soft, workout"
INS182403446,140378198.0,Aaye Haaye (feat. Nora Fatehi),"Karan Aujla, Neha Kakkar, Jay Trak",punjabi,punjabi,501717,"celebratory, fun, chill, energetic, entertaining","dancy, partying"
INH102309375,104461447.0,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, moving, dramatic","soft, sleep, driving, study, lofi, relaxation"
IND292500108,142915160.0,"Golden Sparrow (From ""Jaabilamma Neeku Antha Kopama"")","G. V. Prakash, Rambabu Gosala, Aswin Satya, Sudheesh Sasikumar, Sublahshini",telugu,telugu,501819,,
INZ031418043,144371021.0,,"Pritam, Dev Negi, Nakash Aziz, Mellow D, Danish Sabri, Sameer Anjaan",,,,,
IN-V11-93-00926,,,,,,,,
FR96X2451081,117227811.0,,"Faheem Abdullah, Rauhan Malik, Amir Ameer",,,,,
INH102408754,128523201.0,"Mere Mehboob Mere Sanam (From ""Bad Newz"")","Udit Narayan, Alka Yagnik, Anu Malik, Javed Akhtar, Lijo George-Dj Chetas","new romantic, indian pop, indian fusion, bollywood, south asian classical, pakistani fusion","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","affectionate, cathartic, heartwarming, dreamy, soothing",
INS182402313,133880032.0,"Chuttamalle (From ""Devara Part 1"")","Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry","telugu, tamil","tamil, telugu","501811, 501819","dramatic, melancholic, energetic, uplifting, empowering, heartwarming","soft, lofi, sleep, driving"
INS181902088,23713074.0,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","longing, cathartic, emotional, affectionate","soft, sleep, lofi, study, wind"
INH109235800,13215797.0,Pehla Nasha,Sadhana Sargam,"bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, connecting, dreamy",daydreaming
INSQ12300060,136310809.0,,"Pawan Singh, Shilpi Raj",,,,,
INS179900049,13222372.0,Kuch Kuch Hota Hai,"Jatin-Lalit, Alka Yagnik","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, heartwarming, nostalgic, dreamy, melancholic, sentimental","sleep, soft, wind, study, summer"
INS189010005,18611845.0,Dheere Dheere Se Meri Zindagi Mein Aana,"Anuradha Paudwal, Kumar Sanu, Super Cassettes Industries Private Limited, Rani Malik","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","affectionate, nostalgic, tender, yearning","noise, wind, background, morning, sleep, coffee, driving"
INS182403413,140239538.0,,"Shankarr Babu Kandukoori, Laxmi Dasa, Devi Sri Prasad, Chandra Bose, Siju Thuravoor",,,,,
IN-V11-94-00353,,,,,,,,
INA092419760,141667250.0,,"Thaman S, Kumara Vagdevi, Kasarla Shyam",,,,,
INS182402389,135437445.0,,"Yo Yo Honey Singh, Paradox",,,,,
INC622214256,118995298.0,,"Juss, MixSingh",,,,,
INS182302348,108742638.0,Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar","pakistani fusion, indian fusion, south asian classical, bollywood, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, affectionate, heartwarming",soft
INS172412724,144665317.0,"Adhi Dha Surprisu (From ""Robinhood"")","G. V. Prakash, Neeti Mohan, Anurag Kulkarni",telugu,telugu,501819,"chill, entertaining, fun",
INE182460156,138271410.0,Apna Raja Ji Ke,"Pawan Singh, Shilpi Raj, Ishani Ghosh",bhojpuri,bhojpuri,501310,,
INS171701912,13222333.0,,"Pritam, Arijit Singh",,,,,
ING642501928,143616041.0,,"Masoom Sharma, Ashu Twinkle, Kaash Beniwal, Vaishali Chaudhary",,,,,
CAW112300244,109193420.0,,"Karan Aujla, Ikky",,,,,
INY099700001,17068299.0,Dil To Pagal Hai,"Lata Mangeshkar, Uttam Singh, Anand Bakshi","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","entertaining, feel-good, upbeat, anthemic, celebratory",dancy
INS189911186,17298633.0,,"Kumar Sanu, Alka Yagnik",,,,,
INS182401598,121351242.0,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]","Shreya Ghoshal, Devi Sri Prasad, Raqueeb Alam","new romantic, bollywood, indian fusion, south asian classical, indian pop, pakistani fusion","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","happy, energetic, raw",
INSD11947894,136477441.0,Sharp Shooter (feat. Ruba Khan),"Masoom Sharma, Ashu Twinkle, Ruba Khan",haryanvi,haryanvi,501514,"adrenaline, adventurous, assertive, empowering, rebellious, upbeat","workout, rural"
INH102501342,145220748.0,,"Mickey J. Meyer, Sid Sriram, Nutana Mohan, Krishna Kanth",,,,,
TCAEZ2071477,30467577.0,,Diljit Dosanjh,,,,,
INZ031415846,134277659.0,"Zaroorat Se Zyada - From ""Vedaa""","Amaal Mallik, Arijit Singh, Kunaal Vermaa",bollywood,bollywood,501219,"soulful, emotional, connecting","sleep, sleeping, soft, gaming, urban"
INS182403193,138882261.0,"Mere Dholna 3.0 (Sonu Nigam Version) [From ""Bhool Bhulaiyaa 3""]","Amaal Mallik, Sonu Nigam, Sameer Anjaan, Pritam","bollywood, indian pop","bollywood, indian pop","501219, 501220","bittersweet, conflicted, liberating, depressing",
INS180705982,20060838.0,Tum Se Hi,"Mohit Chauhan, Pritam, Irshad Kamil","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","affectionate, connecting, heartwarming, emotional, melancholic, nostalgic","soft, sleep, lofi, study, wind"
INW262500022,142223880.0,Aura,Shubh,punjabi,punjabi,501717,"powerful, emotional, anthemic, assertive, intense",workout
INM432400190,136998151.0,Tere Bina Na Guzara E,Josh Brar,"bollywood, punjabi","bollywood, punjabi","501219, 501717","affectionate, intimate","soft, lofi, sleep, workout, sleeping"
ING642503977,146317270.0,Dilwa Le Ja Rumaal Me,Pawan Singh,bhojpuri,bhojpuri,501310,"ROMANTIC, DARK",
INS182403351,139921546.0,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]","Sublahshini, Devi Sri Prasad, Chandra Bose","telugu, tamil","tamil, telugu","501811, 501819","catchy, celebratory, energetic, cathartic, cheerful, fun","dancy, partying"
QMBZ92399156,109140609.0,One Love,Shubh,"punjabi, punjabi trap, pakistani fusion, indian fusion, new romantic","punjabi, indian fusion, new romantic, pakistani fusion, punjabi trap","501717, 507684, 507743, 507755, 507791","affectionate, adoring, intimate",bonding
INS182303389,114290296.0,Pehle Bhi Main,"Vishal Mishra, Raj Shekhar","pakistani fusion, bollywood, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","affectionate, sentimental, emotional, longing","soft, lofi, sleep, wind, driving"
INH109338540,13216093.0,,Udit Narayan,,,,,
INUM72401063,136270324.0,Russian Bandana,Dhanda Nyoliwala,haryanvi,haryanvi,501514,"aggressive, bold, defiant, rebellious, violent","urban, revolution"
FR59R2468879,117447025.0,Lofar,"Masoom Sharma, Swara Verma",haryanvi,haryanvi,501514,"bittersweet, bold, rebellious, cathartic, celebratory","workout, cruising, gaming, rural"
INL232405313,140253228.0,Aaho Raja,Pawan Singh,bhojpuri,bhojpuri,501310,ROMANTIC,
INZ031418282,146089025.0,,"Shashwat Sachdev, Sangtar, Manmohan Waris, Kamal Heer, Sukhwinder Amrit",,,,,
INS189010003,17293467.0,,"Kumar Sanu, Super Cassettes Industries Private Limited, Sameer Anjaan",,,,,
INS189911111,16868535.0,Chand Chhupa Badal Mein,"Udit Narayan, Alka Yagnik, Ajay Devgan, Aishwarya Rai Bachchan, Salman Khan","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","affectionate, yearning, gentle, sentimental","sleep, soft"
ING642424003,139389832.0,Latak Jaiba,"Khesari Lal Yadav, Shilpi Raj",pop,pop,501120,ROMANTIC,
INH102500407,142246411.0,"Rang (From ""Sky Force"")","Tanishk Bagchi, Satinder Sartaaj, Zahrah S Khan, Shloke Lal","haryanvi, punjabi, new romantic, bollywood, indian pop","bollywood, indian pop, haryanvi, punjabi, new romantic","501219, 501220, 501514, 501717, 507743","happy, family, fun, catchy","roadtrip, urban"
INS171602089,13222161.0,Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh, Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bachchan, Fawad Khan","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","emotional, longing, melancholic, yearning",sleep
INS182402692,136968361.0,,"Kala Bhairava, Anirudh Ravichander, Ramajogayya Sastry",,,,,
INUM72500383,146440161.0,Tu Tu Hai Wahi - From (“The Royals”),"RUUH, JOH, Jubin Nautiyal, Jonita Gandhi","bollywood, new romantic, indian pop","bollywood, indian pop, new romantic","501219, 501220, 507743","affectionate, nostalgic, uplifting",
INT202505177,142098006.0,"Vazhithunaiye - From ""Dragon""","Leon James, Sid Sriram, Sanjana Kalmanje",tamil,tamil,501811,"soulful, chill","sleep, sleeping"
INS172408783,120816680.0,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")","Tanishk Bagchi, Kausar Munir","bollywood, new romantic, pakistani fusion, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, dramatic, heartwarming, intimate","soft, lofi, sleep, study, relaxation, workout, driving"
INN172410171,139408930.0,Tag Awara Ke,"Amanraj Gill, Shiva Choudhary, Shivani Yadav",haryanvi,haryanvi,501514,"chill, heavy, powerful","workout, cruising"
INM432400484,139331221.0,,"Juss, MixSingh",,,,,
USUG12405155,134113604.0,,AP Dhillon,,,,,
INT502405286,137463214.0,Mere Mittar,"Komal Chaudhary, Masoom Sharma",haryanvi,haryanvi,501514,,
INS182400313,116382505.0,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav, Tanishk Bagchi, Asees Kaur, Nina Mathur","indian fusion, pakistani fusion, new romantic, indian pop, south asian classical, bollywood","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","affectionate, longing, passionate, cathartic",
IN-V11-94-00084,,,,,,,,
INH102307527,102344239.0,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, heartwarming, intimate, emotional","soft, lofi, sleep, driving, study"
INH102310310,105599970.0,,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",,,,,
INS182400341,116423200.0,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel","bollywood, pakistani fusion, new romantic, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, emotional, intimate, longing, nostalgic","soft, lofi, driving, noise"
FR10S2569848,142618211.0,RANU BOMBAI KI RANU,"Ramu Rathod, Singer Prabha, Kalyan Keys",telugu,telugu,501819,"chill, celebratory, affectionate, family","urban, reassured, summer"
INS181200529,20967723.0,Raabta,"Pritam, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","connecting, heartwarming, emotional, affectionate, dreamy","soft, sleep, lofi, study, wind"
INS172408686,120591288.0,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","Mohammad Faiz, Jaani","bollywood, pakistani fusion, new romantic, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, heartwarming, connecting, devoted, inspirational, intimate","soft, lofi, sleep, driving"
INS182403836,141543576.0,"Blockbuster Pongal (From ""Sankranthiki Vasthunam"")","Venkatesh, Bheems Ceciroleo, Rohini Soratt, Ramajogayya Sastry",telugu,telugu,501819,"energetic, festive, hype",workout
GBSGZ1500559,13031050.0,,"Ankit Tiwari, Palak Muchhal, Himesh Reshammiya",,,,,
INUM72400228,117561209.0,Soulmate,"Badshah, Arijit Singh","pakistani fusion, bollywood, new romantic, indian fusion, south asian classical","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy, soulful",
INS181400606,18480098.0,Mast Magan,"Arijit Singh, Chinmayi","pakistani fusion, bollywood, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","soulful, heartwarming, adventurous, reflective, suspenseful","soft, sleep, lofi, study, morning, sleeping"
ING642410988,134599585.0,Sadiya,"Pawan Singh, Shivani Singh",bhojpuri,bhojpuri,501310,"chill, family",
INH102413551,139348211.0,Morni,"Badshah, Sharvi Yadav, Hiten","bollywood, new romantic","bollywood, new romantic","501219, 507743","energetic, upbeat, catchy","partying, dancy, urban"
INA092419756,141543571.0,,"Bheems Ceciroleo, Swathi Reddy UK, Suresh Gangula",,,,,
INS182402596,135890529.0,"Daavudi (From ""Devara Part 1"")","Nakash Aziz, AKASA, Anirudh Ravichander","telugu, tamil","tamil, telugu","501811, 501819","energetic, celebratory, festive, fun, upbeat, entertaining","lofi, running, workout, beach, coffee"
INH102500040,141791033.0,,"Pawan Singh, Kalpana Patowary, Rajat Nagpal",,,,,
IN-V11-93-00496,,,,,,,,
INA092319016,115622860.0,,"Thaman S, Sri Krishna, Sahithi Chaganti, Mahesh Babu, Saraswati Putra Ramajogayya Sastry",,,,,
INS182401602,121342804.0,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Shreya Ghoshal, Devi Sri Prasad, Chandra Bose",telugu,telugu,501819,"affectionate, heartwarming, emotional, adventurous, atmospheric, energetic",lofi
QM4TX2564311,144268423.0,Superstar,"dox, JASKARAN, Rita Kim","indian hip-hop/rap, punjabi","indian hip-hop/rap, punjabi","501221, 501717","catchy, energetic, hype",urban
CAW112300241,107000636.0,,"Karan Aujla, Ikky, Preston Pablo",,,,,
INS182500330,143185125.0,Photo Zoom Zoom,Neelkamal Singh,bhojpuri,bhojpuri,501310,,
INZ031418224,145609249.0,"Touch Kiya - From ""Jaat""","Thaman S, Madhubanti Bagchi, Shahid Mallya, Kumaar",bollywood,bollywood,501219,"blue, happy",
INZ031418079,144901296.0,"Sikandar Naache - From ""Sikandar""","JAM8, Sameer Anjaan, Amit Mishra, AKASA, Siddhaant Miishhraa","indian pop, bollywood","bollywood, indian pop","501219, 501220","passionate, raw, soothing, wild",
QMFMG2357540,115766156.0,King Shit,Shubh,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","aggressive, assertive, adrenaline, defiant, thrilling, empowering",revolution
INT132400871,142915161.0,,"Penchal Das, Madhu Priya, Leon James",,,,,
INS182501223,145035278.0,"Kanimaa (From ""Retro"")","Santhosh Narayanan, The Indian Choral Ensemble, Vivek",tamil,tamil,501811,"catchy, celebratory, nostalgic, upbeat",dancy
INUM72401286,138104344.0,Knife Brows,Dhanda Nyoliwala,haryanvi,haryanvi,501514,"catchy, fun, cheerful, energetic, lively, upbeat","workout, gaming, cruising, running, summer"
INS172203702,84547395.0,,"Pritam, Arijit Singh, Amitabh Bhattacharya",,,,,
